Classifier 271: 100100100100000100100100 = 6 fitness,0]: 0.27829000000000004 prediction,0]: 276.5343180727898 error,0]: 184.35621204852654 fitness,1]: 0.27829000000000004 prediction,1]: 58.78588161165417 error,1]: 39.19058774110278 Experience: 3 numerisity: 1 weight: ,"1, 0] position: ", 7. 10.]
Classifier 282: 100100100100000100100100 = 2 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ", 7. 10.]
Classifier 283: 100100100100000100100100 = 3 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ", 7. 10.]
Classifier 284: 100100100100000100100100 = 5 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ", 7. 10.]
Classifier 285: 1001001##100000100100100 = 0 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ", 7. 10.]
Classifier 286: 100100100100000100#00100 = 3 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ", 7. 10.]
Classifier 287: 100100#00100000100100100 = 2 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ", 7. 10.]
Classifier 288: 100100100100000100100100 = 1 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ", 7. 10.]
Classifier 289: 1001001#010000010010#100 = 4 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ", 7. 10.]
Classifier 290: 1001001001000001001001#0 = 6 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ", 7. 10.]
Classifier 0: 0010100##001100001100100 = 6 fitness,0]: 0.9943308472719479 prediction,0]: 680.2359807562705 error,0]: 108.357699424193 fitness,1]: 0.9943308472719479 prediction,1]: 177.6665257555257 error,1]: 25.38700986131991 Experience: 49 numerisity: 1 weight: ,"1, 0] position: ",1. 1.]
Classifier 1: 0010#00#000110#001100100 = 1 fitness,0]: 0.9724652894450743 prediction,0]: 668.5000040413015 error,0]: 138.80982821515232 fitness,1]: 0.9724652894450743 prediction,1]: 172.59072896749603 error,1]: 35.26852683629092 Experience: 34 numerisity: 1 weight: ,"1, 0] position: ",1. 1.]
Classifier 2: 001010010001100001100#0# = 4 fitness,0]: 0.9819344764049133 prediction,0]: 719.0136498788165 error,0]: 119.40723235231671 fitness,1]: 0.9819344764049133 prediction,1]: 189.6904564092351 error,1]: 30.489494687455768 Experience: 38 numerisity: 1 weight: ,"1, 0] position: ",1. 1.]
Classifier 3: 001010010001100001100100 = 2 fitness,0]: 0.9853669258879797 prediction,0]: 678.2253446746553 error,0]: 138.542335944629 fitness,1]: 0.9853669258879797 prediction,1]: 177.64720994233744 error,1]: 33.86369529780253 Experience: 40 numerisity: 1 weight: ,"1, 0] position: ",1. 1.]
Classifier 4: 00101001000110000110010# = 3 fitness,0]: 0.9966524220056124 prediction,0]: 720.0807492171672 error,0]: 102.812818663817 fitness,1]: 0.9966524220056124 prediction,1]: 188.65898285184238 error,1]: 25.434023702624124 Experience: 54 numerisity: 1 weight: ,"1, 0] position: ",1. 1.]
Classifier 5: 001010010001100001100100 = 0 fitness,0]: 0.9881472099692635 prediction,0]: 711.0424123613145 error,0]: 101.94114875493678 fitness,1]: 0.9881472099692635 prediction,1]: 184.59445866107944 error,1]: 24.857793615595536 Experience: 42 numerisity: 1 weight: ,"1, 0] position: ",1. 1.]
Classifier 6: 00#010010001100001100100 = 5 fitness,0]: 0.9999997704913474 prediction,0]: 779.780296476764 error,0]: 11.970372804465999 fitness,1]: 0.9999997704913474 prediction,1]: 202.58696567540235 error,1]: 7.454434119357076 Experience: 145 numerisity: 1 weight: ,"1, 0] position: ",1. 1.]
Classifier 7: 001010010001#00001#00100 = 6 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",1. 1.]
Classifier 8: 00101001000#100001100#00 = 1 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",1. 1.]
Classifier 9: 001010010001100001100100 = 3 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",1. 1.]
Classifier 10: 001010010001100001100100 = 5 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",1. 1.]
Classifier 11: 001010010001100001100#00 = 2 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",1. 1.]
Classifier 12: 0010100100011#0001100100 = 4 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",1. 1.]
Classifier 13: 00101001000110#0011001#0 = 0 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",1. 1.]
Classifier 14: 00101#010001100001100100 = 6 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",1. 1.]
Classifier 15: 00101001000110000110010# = 2 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",1. 1.]
Classifier 16: 00#01001000110000110#100 = 1 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",1. 1.]
Classifier 17: 001010010001100001100100 = 5 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",1. 1.]
Classifier 18: 001#10010001100001100100 = 3 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",1. 1.]
Classifier 19: 001010#10001100001#00100 = 0 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",1. 1.]
Classifier 20: 00#01001000110000110#100 = 4 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",1. 1.]
Classifier 21: 001100100#01#00#01##0100 = 2 fitness,0]: 0.9943308472719479 prediction,0]: 722.7572717276946 error,0]: 97.74221780853172 fitness,1]: 0.9943308472719479 prediction,1]: 190.79136375666877 error,1]: 23.20280576506368 Experience: 49 numerisity: 1 weight: ,"1, 0] position: ",1. 6.]
Classifier 22: 001100100001#00001100100 = 0 fitness,0]: 0.99914909058884 prediction,0]: 753.7569354778598 error,0]: 48.92513575904033 fitness,1]: 0.99914909058884 prediction,1]: 195.54951766820457 error,1]: 11.117959102132067 Experience: 67 numerisity: 1 weight: ,"1, 0] position: ",1. 6.]
Classifier 23: 001100100#011000011#0100 = 5 fitness,0]: 0.9985589774404986 prediction,0]: 754.2689166477558 error,0]: 65.53402835085832 fitness,1]: 0.9985589774404986 prediction,1]: 197.29358872232993 error,1]: 15.881104373030206 Experience: 62 numerisity: 1 weight: ,"1, 0] position: ",1. 6.]
Classifier 24: 001100100001100001100100 = 4 fitness,0]: 0.999999999665932 prediction,0]: 799.1214373074707 error,0]: 8.552569744570402 fitness,1]: 0.999999999665932 prediction,1]: 200.75531079245292 error,1]: 7.455744149802779 Experience: 207 numerisity: 1 weight: ,"1, 0] position: ",1. 6.]
Classifier 25: 001100100#01100001100100 = 6 fitness,0]: 0.9983988638227762 prediction,0]: 742.0095779621327 error,0]: 64.85540979142085 fitness,1]: 0.9983988638227762 prediction,1]: 194.55972226299184 error,1]: 17.03835929027856 Experience: 61 numerisity: 1 weight: ,"1, 0] position: ",1. 6.]
Classifier 26: 001100100001100001100100 = 1 fitness,0]: 0.9969871798050511 prediction,0]: 691.8612571959661 error,0]: 114.27499239666014 fitness,1]: 0.9969871798050511 prediction,1]: 175.58796673062494 error,1]: 27.9256610564822 Experience: 55 numerisity: 1 weight: ,"1, 0] position: ",1. 6.]
Classifier 27: 001100100001100001#00100 = 3 fitness,0]: 0.9978036540778823 prediction,0]: 752.749208844221 error,0]: 60.84508342153076 fitness,1]: 0.9978036540778823 prediction,1]: 196.50439422071287 error,1]: 13.528866638719844 Experience: 58 numerisity: 1 weight: ,"1, 0] position: ",1. 6.]
Classifier 28: 001100100001100001100100 = 1 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",1. 6.]
Classifier 29: 001100100001100001100100 = 5 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",1. 6.]
Classifier 30: 001100100001#0000110010# = 4 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",1. 6.]
Classifier 31: 001#0010000#10000110#100 = 6 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",1. 6.]
Classifier 32: 001100100001100001100100 = 0 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",1. 6.]
Classifier 33: 001100100001100001100100 = 3 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",1. 6.]
Classifier 34: 001100100001100##1100100 = 2 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",1. 6.]
Classifier 35: #01100100001100001100100 = 3 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",1. 6.]
Classifier 36: 001100100001100001100100 = 2 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",1. 6.]
Classifier 37: 00110010000110000#100100 = 4 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",1. 6.]
Classifier 38: 0011001000011#0001100100 = 6 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",1. 6.]
Classifier 39: 001100100001100001100100 = 1 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",1. 6.]
Classifier 40: #011001000011#0001100100 = 5 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",1. 6.]
Classifier 41: 001100100001100001100100 = 0 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",1. 6.]
Classifier 168: 010010011100100100100100 = 4 fitness,0]: 0.834895901173301 prediction,0]: 629.2745646328182 error,0]: 174.24188443278652 fitness,1]: 0.834895901173301 prediction,1]: 160.17659744477533 error,1]: 43.12311993958111 Experience: 17 numerisity: 1 weight: ,"1, 0] position: ",2. 1.]
Classifier 169: 010010011100100100100100 = 1 fitness,0]: 0.9937009414132755 prediction,0]: 808.2336045976004 error,0]: 81.63947634420694 fitness,1]: 0.9937009414132755 prediction,1]: 191.95225560405845 error,1]: 16.870714740250886 Experience: 48 numerisity: 1 weight: ,"1, 0] position: ",2. 1.]
Classifier 170: 010010#11100100100100100 = 3 fitness,0]: 0.9660065301791041 prediction,0]: 696.7636246660759 error,0]: 106.50044914769643 fitness,1]: 0.9660065301791041 prediction,1]: 172.77715051036378 error,1]: 24.969194269978892 Experience: 32 numerisity: 1 weight: ,"1, 0] position: ",2. 1.]
Classifier 171: 010010011100100100100100 = 0 fitness,0]: 0.8662656799503738 prediction,0]: 558.6348985682706 error,0]: 173.4649559858317 fitness,1]: 0.8662656799503738 prediction,1]: 136.10304421503906 error,1]: 38.42562810092177 Experience: 19 numerisity: 1 weight: ,"1, 0] position: ",2. 1.]
Classifier 172: 01001001110010#100100100 = 6 fitness,0]: 0.6164537158900001 prediction,0]: 554.4151172717611 error,0]: 152.24895987132805 fitness,1]: 0.6164537158900001 prediction,1]: 132.60303729144337 error,1]: 36.434904693914326 Experience: 9 numerisity: 1 weight: ,"1, 0] position: ",2. 1.]
Classifier 173: 01#01#011100100100100100 = 5 fitness,0]: 0.9694058771611936 prediction,0]: 602.865766605598 error,0]: 165.31873795785765 fitness,1]: 0.9694058771611936 prediction,1]: 152.95909782501113 error,1]: 38.95078386597629 Experience: 33 numerisity: 1 weight: ,"1, 0] position: ",2. 1.]
Classifier 174: 010#10#111001001#0100100 = 2 fitness,0]: 0.8165510013036678 prediction,0]: 511.4780090633301 error,0]: 191.15387457004772 fitness,1]: 0.8165510013036678 prediction,1]: 141.72382823252124 error,1]: 52.05156047210319 Experience: 16 numerisity: 1 weight: ,"1, 0] position: ",2. 1.]
Classifier 175: 010010011100100100100100 = 4 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",2. 1.]
Classifier 176: 010010011100100100100100 = 0 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",2. 1.]
Classifier 177: 010010011100100100100100 = 5 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",2. 1.]
Classifier 178: 010#10011#00100100100100 = 3 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",2. 1.]
Classifier 179: 01001001#100100100#00100 = 1 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",2. 1.]
Classifier 180: 010010011100100100100100 = 2 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",2. 1.]
Classifier 181: 0100#0011100100100100100 = 6 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",2. 1.]
Classifier 182: 01001#01110010#100100100 = 1 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",2. 1.]
Classifier 183: 010010#11100100100100100 = 0 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",2. 1.]
Classifier 184: 010010011100100100100100 = 3 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",2. 1.]
Classifier 185: #10010011100100100100100 = 2 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",2. 1.]
Classifier 186: 010010011100100100100100 = 5 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",2. 1.]
Classifier 187: 010010011100#00100100100 = 4 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",2. 1.]
Classifier 188: 010010011100100100100100 = 6 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",2. 1.]
Classifier 42: 100#0010010#10010010010# = 2 fitness,0]: 0.9999997166559843 prediction,0]: 753.6516906287766 error,0]: 37.5360932152459 fitness,1]: 0.9999997166559843 prediction,1]: 188.93088209570962 error,1]: 11.735038279417056 Experience: 143 numerisity: 1 weight: ,"1, 0] position: ",2. 5.]
Classifier 43: 10010010010010010010#100 = 6 fitness,0]: 0.9999874228075999 prediction,0]: 769.5250284029789 error,0]: 35.233158687948716 fitness,1]: 0.9999874228075999 prediction,1]: 189.15685589554698 error,1]: 10.674946900805216 Experience: 107 numerisity: 1 weight: ,"1, 0] position: ",2. 5.]
Classifier 44: #00100100#00100#00100100 = 4 fitness,0]: 0.9999999999999996 prediction,0]: 815.4827166909573 error,0]: 20.945370796669977 fitness,1]: 0.9999999999999996 prediction,1]: 201.4035351040538 error,1]: 9.492216956917789 Experience: 334 numerisity: 1 weight: ,"1, 0] position: ",2. 5.]
Classifier 45: 10#100100100100100100100 = 0 fitness,0]: 0.4761925483010965 prediction,0]: 785.0066533631385 error,0]: 46.54376510758736 fitness,1]: 0.4837799172640258 prediction,1]: 191.17357835267129 error,1]: 11.300309495724084 Experience: 107 numerisity: 1 weight: ,"1, 0] position: ",2. 5.]
Classifier 46: 100100#00100100#00100100 = 3 fitness,0]: 0.9999599210716374 prediction,0]: 772.2274053742735 error,0]: 30.84681293585582 fitness,1]: 0.9999599210716374 prediction,1]: 197.6321892819697 error,1]: 11.474856332003542 Experience: 96 numerisity: 1 weight: ,"1, 0] position: ",2. 5.]
Classifier 47: 100100100100100100100100 = 5 fitness,0]: 0.9999808303728088 prediction,0]: 757.5290914783544 error,0]: 58.19897151648378 fitness,1]: 0.9999808303728088 prediction,1]: 190.53706987413284 error,1]: 15.110826101425749 Experience: 103 numerisity: 1 weight: ,"1, 0] position: ",2. 5.]
Classifier 48: 10010010010010010010010# = 1 fitness,0]: 0.46153111241563755 prediction,0]: 819.5337663116636 error,0]: 72.49496927068338 fitness,1]: 0.4529934275721324 prediction,1]: 189.06799104075512 error,1]: 13.099080922190645 Experience: 102 numerisity: 1 weight: ,"1, 0] position: ",2. 5.]
Classifier 49: 10#1001001001001#0100100 = 6 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",2. 5.]
Classifier 50: 100#00100100100#00100100 = 3 fitness,0]: 0.109 prediction,0]: 1000.0 error,0]: 0.0 fitness,1]: 0.109 prediction,1]: 200.0 error,1]: 0.0 Experience: 1 numerisity: 1 weight: ,"0.5, 0.5] position: ",2. 5.]
Classifier 51: 100100100100100100100100 = 1 fitness,0]: 0.350461 prediction,0]: 1000.0 error,0]: 0.0 fitness,1]: 0.350461 prediction,1]: 200.0 error,1]: 0.0 Experience: 4 numerisity: 1 weight: ,"0.5, 0.5] position: ",2. 5.]
Classifier 52: 100100100100100100100100 = 5 fitness,0]: 0.109 prediction,0]: 1000.0 error,0]: 0.0 fitness,1]: 0.109 prediction,1]: 200.0 error,1]: 0.0 Experience: 1 numerisity: 1 weight: ,"0.5, 0.5] position: ",2. 5.]
Classifier 53: 10010010010010010#100100 = 4 fitness,0]: 0.27829000000000004 prediction,0]: 1000.0 error,0]: 0.0 fitness,1]: 0.27829000000000004 prediction,1]: 200.0 error,1]: 0.0 Experience: 3 numerisity: 1 weight: ,"0.5, 0.5] position: ",2. 5.]
Classifier 54: 100100100100100100100100 = 2 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0.5, 0.5] position: ",2. 5.]
Classifier 55: 100100100100#00100100100 = 0 fitness,0]: 0.109 prediction,0]: 1000.0 error,0]: 0.0 fitness,1]: 0.109 prediction,1]: 200.0 error,1]: 0.0 Experience: 1 numerisity: 1 weight: ,"0.5, 0.5] position: ",2. 5.]
Classifier 56: 10010#10#100100100100100 = 1 fitness,0]: 0.350461 prediction,0]: 1000.0 error,0]: 0.0 fitness,1]: 0.350461 prediction,1]: 200.0 error,1]: 0.0 Experience: 4 numerisity: 1 weight: ,"0, 1] position: ",2. 5.]
Classifier 57: 1001#01001001001001001#0 = 2 fitness,0]: 0.01 prediction,0]: 0.0 error,0]: 0.01 fitness,1]: 0.01 prediction,1]: 0.0 error,1]: 0.01 Experience: 0 numerisity: 1 weight: ,"0, 1] position: ",2. 5.]
Classifier 58: 100100100100100100100100 = 4 fitness,0]: 0.27829000000000004 prediction,0]: 1000.0 error,0]: 0.0 fitness,1]: 0.27829000000000004 prediction,1]: 200.0 error,1]: 0.0 Experience: 3 numerisity: 1 weight: ,"0, 1] position: ",2. 5.]
